Standard Make,Standard Model,Standard Hierarchy Value,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Non-Contiguous Year Segments,Lifecycle Status,Validation Status,Source Organization Count,Source Dataset Count,Primary Source Organization,Primary Source Document,Primary Source URL,Secondary Source Organization,Secondary Source Document,Secondary Source URL,Source Access Date,Catalog Origin,Present in Original Source,Raw Source Value,Notes
Toyota,Corolla,LE,Trim,2014-2019,2014,2019,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Corolla LE Eco,Value explicit in EPA certification model strings; observed in 6 model year(s). Carried forward from V3 unchanged.
Toyota,Corolla,SE,Trim,2026,2026,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Corolla Hybrid SE,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Toyota,Corolla,Sport,Trim,1984-1987,1984,1987,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Corolla Sport,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Toyota,Corolla,XLE,Trim,2020-2022,2020,2022,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Corolla XLE,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Corolla,XSE,Trim,2019-2026,2019,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Corolla Hatchback XSE,Value explicit in EPA certification model strings; observed in 8 model year(s). Carried forward from V3 unchanged.
Toyota,Grand Highlander,LE,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Grand Highlander AWD LE/XLE,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Grand Highlander,Limited,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Grand Highlander AWD Limited/Platinum,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Grand Highlander,Platinum,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Grand Highlander AWD Limited/Platinum,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Grand Highlander,XLE,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Grand Highlander AWD LE/XLE,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Highlander,LE,Trim,2014-2019,2014,2019,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Highlander AWD LE,Value explicit in EPA certification model strings; observed in 6 model year(s). Carried forward from V3 unchanged.
Toyota,Highlander,SE,Trim,2017-2019,2017,2019,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Highlander LE/XLE/SE/LTD,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Highlander,XLE,Trim,2017-2019,2017,2019,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Highlander LE/XLE/SE/LTD,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Mirai,LE,Trim,2022-2023,2022,2023,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Mirai LE,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Toyota,Mirai,Limited,Trim,2021-2024,2021,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Mirai Limited,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Toyota,Mirai,XLE,Trim,2021-2025,2021,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Mirai XLE,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Toyota,Prius,SE,Trim,2025,2025,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Prius PHEV SE,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Toyota,Prius,XLE,Trim,2023-2026,2023,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Prius AWD XLE/LTD,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Toyota,Prius Prime,SE,Trim,2023-2024,2023,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Prius Prime SE,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Toyota,RAV4,LE,Trim,2015-2018; 2020-2026,2015,2026,2,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD LE,Value explicit in EPA certification model strings; observed in 11 model year(s). Carried forward from V3 unchanged.
Toyota,RAV4,Limited,Trim,2013-2018; 2026,2013,2026,2,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD Limited & XSE,Value explicit in EPA certification model strings; observed in 7 model year(s). Carried forward from V3 unchanged.
Toyota,RAV4,SE,Trim,2016-2018; 2026,2016,2026,2,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD SE & LE,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Toyota,RAV4,XLE,Trim,2015-2018; 2026,2015,2026,2,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD XLE,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Toyota,RAV4,XSE,Trim,2026,2026,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD Limited & XSE,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Toyota,Tacoma,Limited,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Tacoma SR5/Sport/Off-Road/Limited 4WD,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Tacoma,Sport,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Tacoma SR5/Sport/Off-Road/Limited 4WD,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Tacoma,SR5,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Tacoma SR5/Sport/Off-Road/Limited 4WD,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Volkswagen,Atlas,SE,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Atlas SE 4motion,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
