Standard Make,Standard Model,Standard Hierarchy Value,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Non-Contiguous Year Segments,Lifecycle Status,Validation Status,Source Organization Count,Source Dataset Count,Primary Source Organization,Primary Source Document,Primary Source URL,Secondary Source Organization,Secondary Source Document,Secondary Source URL,Source Access Date,Catalog Origin,Present in Original Source,Raw Source Value,Notes
Porsche,Panamera,Platinum Edition,Edition,2023,2023,2023,1,Discontinued,Manufacturer Verified,1,1,Porsche Cars North America,Elegant and exclusive: Panamera Platinum Edition (Porsche Newsroom USA),https://newsroom.porsche.com/en_US/2021/products/porsche-panamera-platinum-edition-special-series-26366.html,,,,2026-07-18,Added - V4 High-Priority Research,No,Platinum,Official special-series designation 'Platinum Edition' (US MY2022-2023); candidate year 2023 within range.
BMW,2 Series,M235I,Trim,2014-2016; 2020-2024,2014,2024,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,M235I,
BMW,2 Series,M240I,Trim,2017-2026,2017,2026,1,Active,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,M240I,
BMW,3 Series,318Is,Trim,1991-1995; 1997,1991,1997,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,318IS,
BMW,3 Series,318Ti,Trim,1995-1999,1995,1999,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,318TI,
BMW,3 Series,325Ci,Trim,2000-2006,2000,2006,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,325CI,
BMW,3 Series,325Ic,Trim,1991; 1994,1991,1994,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,325IC,
BMW,3 Series,325Is,Trim,1991; 1994,1991,1994,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,325IS,
BMW,3 Series,325Ix,Trim,1989-1991; 2001,1989,2001,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,325IX,
BMW,3 Series,325Xi,Trim,2001-2006,2001,2006,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,325XI,
BMW,3 Series,328Ci,Trim,2000; 2007-2012,2000,2012,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,328CI,
BMW,3 Series,328D,Trim,2014-2018,2014,2018,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,328D,
BMW,3 Series,328Ic,Trim,1997; 1999-2000,1997,2000,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,328IC,
BMW,3 Series,328Xi,Trim,2007-2008; 2014-2015,2007,2015,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,328XI,
BMW,3 Series,330Ci,Trim,2000-2006,2000,2006,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,330CI,
BMW,3 Series,330E,Trim,2016-2018; 2021-2024,2016,2024,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,330E,
BMW,3 Series,330Xi,Trim,2001-2006,2001,2006,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,330XI,
BMW,3 Series,335D,Trim,2009-2011,2009,2011,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,335D,
BMW,3 Series,335Is,Trim,2011-2013,2011,2013,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,335IS,
BMW,3 Series,335Xi,Trim,2007-2008; 2013-2015,2007,2015,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,335XI,
BMW,3 Series,M340I,Trim,2020-2026,2020,2026,1,Active,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,M340I,
BMW,4 Series,M440I,Trim,2021-2027,2021,2027,1,Active,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,M440I,
BMW,5 Series,525Xi,Trim,2006-2007; 2011,2006,2011,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,525XI,
BMW,5 Series,528Xi,Trim,2008; 2012-2014,2008,2014,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,528XI,
BMW,5 Series,530E,Trim,2018-2023,2018,2023,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,530E,
BMW,5 Series,535D,Trim,2014-2016,2014,2016,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,535D,
BMW,5 Series,535Xi,Trim,2008; 2012-2013,2008,2013,2,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,535XI,
BMW,5 Series,M550I,Trim,2018-2023,2018,2023,1,Discontinued,Government Verified,1,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Recall dataset,https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,Added - V4 High-Priority Research,No,M550I,
