Standard Make,Standard Model,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Lifecycle Status,Vehicle Category,Market,Present in Original Source,Catalog Origin,Validation Status,Primary Source Name,Primary Source URL,Secondary Source Name,Secondary Source URL,Source Access Date,Notes,Source Organization Count,Source Dataset Count
Aston Martin,V8 Vantage,2006-2016,2006,2016,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2006&make=ASTON%20MARTIN&issueType=r,2026-07-15,,2,2
Aston Martin,V8 Vantage ASM,2007,2007,2007,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Aston Martin,V8 Vantage S,2011-2016,2011,2016,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=ASTON%20MARTIN&issueType=r,2026-07-15,,2,2
Aston Martin,Valhalla,2026,2026,2026,Active,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA vPIC (VIN product data),https://vpic.nhtsa.dot.gov/api/vehicles/GetModelsForMake/Aston%20Martin?format=json,2026-07-15,Upgraded to Fully Verified in V2: independently confirmed by NHTSA vPIC product data.,2,2
Aston Martin,Valour,2024,2024,2024,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA vPIC (VIN product data),https://vpic.nhtsa.dot.gov/api/vehicles/GetModelsForMake/Aston%20Martin?format=json,2026-07-15,Upgraded to Fully Verified in V2: independently confirmed by NHTSA vPIC product data.,2,2
Aston Martin,Vanquish,2002-2003; 2014-2016; 2025-2027,2002,2027,Active,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA vPIC (VIN product data),https://vpic.nhtsa.dot.gov/api/vehicles/GetModelsForMake/Aston%20Martin?format=json,2026-07-15,"MY2027 record officially published in government data by the 2026-07-15 research cutoff. Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged. Upgraded to Fully Verified in V2: independently confirmed by NHTSA vPIC product data.",2,2
Aston Martin,Vanquish S,2019,2019,2019,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Aston Martin,Vanquish S Zagato,2017-2018,2017,2018,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Aston Martin,Vantage,1980-1985; 1987-1989; 2000-2001; 2015-2016; 2025-2026,1980,2026,Active,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA vPIC (VIN product data),https://vpic.nhtsa.dot.gov/api/vehicles/GetModelsForMake/Aston%20Martin?format=json,2026-07-15,"Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged. Upgraded to Fully Verified in V2: independently confirmed by NHTSA vPIC product data. Model year(s) [1980, 1981, 1982, 1983] added in V3 from the official EPA 1980-1983 historical dataset.",2,3
Aston Martin,Vantage Manual,2020-2021,2020,2021,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
